,precision,recall,f1-score,support
Anthracnose,1.0,1.0,1.0,75.0
Bacterial Canker,1.0,1.0,1.0,75.0
Cutting Weevil,1.0,1.0,1.0,75.0
Die Back,1.0,0.9866666666666667,0.9932885906040269,75.0
Gall Midge,0.9868421052631579,1.0,0.9933774834437086,75.0
Healthy,1.0,1.0,1.0,75.0
Powdery Mildew,0.9868421052631579,1.0,0.9933774834437086,75.0
Sooty Mould,1.0,0.9866666666666667,0.9932885906040269,75.0
accuracy,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667
macro avg,0.9967105263157895,0.9966666666666667,0.9966665185119339,600.0
weighted avg,0.9967105263157894,0.9966666666666667,0.9966665185119339,600.0
